"Obejmują transakcje Amazon Marketplace, realizowane przez Amazon (FBA) i Amazon Webstore."
"Wszystkie kwoty w PLN, chyba że określono inaczej"
"Definicje:"
"Pobrany podatek od sprzedaży: Obejmuje podatek od sprzedaży pobierany od kupujących za sprzedaż produktów, wysyłkę i pakowanie na prezent."
"Opłaty za sprzedaż: Obejmują zmienne opłaty za zamknięcie i prowizje od sprzedaży."
"Inne opłaty transakcyjne: Obejmują obciążenia zwrotne za wysyłkę, opłaty zatrzymane z tytułu zwrotu kosztów, prowizje za każdy sprzedany produkt i opłaty związane z poborem podatku od sprzedaży."
"Pozostałe: Obejmują kwoty transakcji niezwiązanych z zamówieniem. Aby uzyskać więcej informacji, zobacz kolumny „Typ” i „Opis” do każdego identyfikatora zamówienia."
"data/godzina","identyfikator rozliczenia","typ","identyfikator zamówienia","sku","opis","ilość","rynek","realizacja","miejscowość zamówienia","stan zamówienia","przekaz pocztowy","sprzedaż produktów","noty kredytowe za wysyłkę","środki na pokrycie pakowania na prezent","rabaty promocyjne","pobrany podatek od sprzedaży","Podatek od transakcji Marketplace Facilitator","opłaty za sprzedaż","opłaty za fba","inne opłaty transakcyjne","inne","suma"
"15 wrz 2025 07:35:11 UTC","25270532562","Zamówienie","408-8350311-2581167","JC84493","Jaegerndorfer jaegerndorferjc84493 kolejka linowa elektryczna zabawka pojazd, 123","1","amazon.pl","Sprzedawca","Warszawa","","03-74","1648,00","0","0","0","0","0","-199,41","0","0","0","1448,59"
"17 wrz 2025 03:37:31 UTC","25354867622","Przelew","","","Na rachunek bankowy kończący się na: 796","","","","","","","0","0","0","0","0","0","0","0","0","-1448,59","-1448,59"
"17 wrz 2025 21:54:45 UTC","25354867622","Zamówienie","408-9030520-1167567","JC88502","GONDEL OMEGA IV 10 GEEL 1:32","1","amazon.pl","Sprzedawca","Warszawa","","03-74","196,00","0","0","0","0","0","-23,72","0","0","0","172,28"
"17 wrz 2025 21:54:45 UTC","25354867622","Zamówienie","408-9030520-1167567","JC54200","Jaegerndorfer JaegerndorferJC54200 6 sztuk figurek do siedzenia z glową narty, skala 1:32, wielokolorowe","1","amazon.pl","Sprzedawca","Warszawa","","03-74","184,00","0","0","0","0","0","-22,26","0","0","0","161,74"
"18 wrz 2025 08:26:55 UTC","25354867622","Zamówienie","405-9315515-2337151","REV05163","Revell GmbH 05163 5163 1:72 German U-Boot typ VII C/41 Platinum (Limited Edition) plastikowy zestaw modelarski, wielokolorowy, 1/72 RV05163","1","amazon.pl","Sprzedawca","Wrocław","","50-04","309,00","0","0","0","0","0","-37,39","0","0","0","271,61"
"19 wrz 2025 08:06:57 UTC","25354867622","Zamówienie","402-6174151-9859554","REV05163","Revell GmbH 05163 5163 1:72 German U-Boot typ VII C/41 Platinum (Limited Edition) plastikowy zestaw modelarski, wielokolorowy, 1/72 RV05163","1","amazon.pl","Sprzedawca","Mroków","","05-55","303,00","0","0","0","0","0","-36,66","0","0","0","266,34"
"19 wrz 2025 14:38:04 UTC","25354867622","Zamówienie","408-8800264-7461138","REV05163","Revell GmbH 05163 5163 1:72 German U-Boot typ VII C/41 Platinum (Limited Edition) plastikowy zestaw modelarski, wielokolorowy, 1/72 RV05163","1","amazon.pl","Sprzedawca","Kórnik","","62-03","303,00","0","0","0","0","0","-36,66","0","0","0","266,34"
"22 wrz 2025 21:40:28 UTC","25354867622","Zamówienie","408-6693166-4973156","REV05163","Revell GmbH 05163 5163 1:72 German U-Boot typ VII C/41 Platinum (Limited Edition) plastikowy zestaw modelarski, wielokolorowy, 1/72 RV05163","1","amazon.pl","Sprzedawca","Bielsko-Biala","","43-30","247,97","0","0","0","57,03","0","-36,91","0","0","0","268,09"
"23 wrz 2025 21:40:35 UTC","25354867622","Zamówienie","403-9104021-5265133","JC84493","Jaegerndorfer jaegerndorferjc84493 kolejka linowa elektryczna zabawka pojazd, 123","1","amazon.pl","Sprzedawca","Katowice","","40-13","1648,00","0","0","0","0","0","-199,41","0","0","0","1448,59"
"25 wrz 2025 07:03:08 UTC","25354867622","Zamówienie","406-8643923-3547561","JC86450","Jagerndorfer - Seats 6 Pers. Blue/black. (1:32) (Jc86450)","1","amazon.pl","Sprzedawca","Warszawa","","04-92","159,44","0","0","0","36,67","0","-23,72","0","0","0","172,39"
"25 wrz 2025 21:08:39 UTC","25354867622","Zamówienie","405-5494501-3292342","REV05163","Revell GmbH 05163 5163 1:72 German U-Boot typ VII C/41 Platinum (Limited Edition) plastikowy zestaw modelarski, wielokolorowy, 1/72 RV05163","1","amazon.pl","Sprzedawca","Zabrze","","41-80","249,59","0","0","0","57,41","0","-37,14","0","0","0","269,86"
"30 wrz 2025 00:12:29 UTC","25623591432","Zamówienie","408-1075297-4743564","REV39613-XS","Revell 5g Contacta Quickglue","1","amazon.pl","Sprzedawca","Katowice","","40-02","81,44","0","0","0","18,73","0","-12,13","0","0","0","88,04"
